Namespace(batch_size=32, data_dir='./data/assist2015', data_name='assist2015', dataset_type='assist2015', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=2, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2015', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-SAKT', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2015', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.49438, auc : 0.75698, accuracy : 0.76183
Epoch 1/20, valid auc : 0.79224, valid accuracy : 0.78839
0.0000 to 0.7922
test_auc: 0.6823	test_accuracy: 0.6581	test_loss: 0.6077	
0test_auc: 0.6997	test_accuracy: 0.7282	test_loss: 0.5450	
1test_auc: 0.9029	test_accuracy: 0.8658	test_loss: 0.3167	
2test_auc: 0.7825	test_accuracy: 0.7878	test_loss: 0.4633	
3test_auc: 0.7840	test_accuracy: 0.8011	test_loss: 0.4447	
4test_auc: 0.8391	test_accuracy: 0.8269	test_loss: 0.3861	
5test_auc: 0.7844	test_accuracy: 0.7940	test_loss: 0.4490	
6test_auc: 0.8114	test_accuracy: 0.8007	test_loss: 0.4303	
7test_auc: 0.8164	test_accuracy: 0.8196	test_loss: 0.4020	
8test_auc: 0.7914	test_accuracy: 0.7985	test_loss: 0.4425	
9test_auc: 0.8022	test_accuracy: 0.7995	test_loss: 0.4340	
10test_auc: 0.8077	test_accuracy: 0.8091	test_loss: 0.4135	
11test_auc: 0.7942	test_accuracy: 0.7916	test_loss: 0.4401	
12test_auc: 0.7858	test_accuracy: 0.7924	test_loss: 0.4483	
13test_auc: 0.8065	test_accuracy: 0.7989	test_loss: 0.4405	
14test_auc: 0.7940	test_accuracy: 0.7954	test_loss: nan	
15test_auc: 0.7838	test_accuracy: 0.7948	test_loss: nan	
16test_auc: 0.7921	test_accuracy: 0.7954	test_loss: nan	
17test_auc: 0.7938	test_accuracy: 0.7913	test_loss: nan	
18test_auc: 0.8059	test_accuracy: 0.7984	test_loss: nan	
19test_auc: 0.8096	test_accuracy: 0.7935	test_loss: nan	
20test_auc: 0.7933	test_accuracy: 0.7885	test_loss: nan	
21test_auc: 0.7846	test_accuracy: 0.7894	test_loss: nan	
22test_auc: 0.8052	test_accuracy: 0.7986	test_loss: nan	
23test_auc: 0.7909	test_accuracy: 0.7877	test_loss: nan	
24test_auc: 0.7916	test_accuracy: 0.7917	test_loss: nan	
25test_auc: 0.7894	test_accuracy: 0.7815	test_loss: nan	
26test_auc: 0.8029	test_accuracy: 0.7946	test_loss: nan	
27test_auc: 0.8010	test_accuracy: 0.7883	test_loss: nan	
28test_auc: 0.7811	test_accuracy: 0.7868	test_loss: nan	
29test_auc: 0.7887	test_accuracy: 0.7893	test_loss: nan	
30test_auc: 0.8036	test_accuracy: 0.7845	test_loss: nan	
31test_auc: 0.8057	test_accuracy: 0.7851	test_loss: nan	
32test_auc: 0.7995	test_accuracy: 0.7804	test_loss: nan	
33test_auc: 0.7877	test_accuracy: 0.7727	test_loss: nan	
34test_auc: 0.8014	test_accuracy: 0.7831	test_loss: nan	
35test_auc: 0.7984	test_accuracy: 0.7858	test_loss: nan	
