Namespace(batch_size=32, data_dir='./data/assist2015', data_name='assist2015', dataset_type='assist2015', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=1, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2015', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-DKVMN', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2015', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.45912, auc : 0.79034, accuracy : 0.78259
Epoch 1/20, valid auc : 0.80885, valid accuracy : 0.80036
0.0000 to 0.8088
test_auc: 0.6851	test_accuracy: 0.6564	test_loss: 0.6132	
0test_auc: 0.7026	test_accuracy: 0.7263	test_loss: 0.5561	
1test_auc: 0.8964	test_accuracy: 0.8658	test_loss: 0.3261	
2test_auc: 0.7941	test_accuracy: 0.7874	test_loss: 0.4552	
3test_auc: 0.7971	test_accuracy: 0.8071	test_loss: 0.4327	
4test_auc: 0.8554	test_accuracy: 0.8371	test_loss: 0.3734	
5test_auc: 0.8071	test_accuracy: 0.8060	test_loss: 0.4313	
6test_auc: 0.8265	test_accuracy: 0.8081	test_loss: 0.4155	
7test_auc: 0.8329	test_accuracy: 0.8299	test_loss: 0.3887	
8test_auc: 0.8139	test_accuracy: 0.8137	test_loss: 0.4231	
9test_auc: 0.8181	test_accuracy: 0.8072	test_loss: 0.4154	
10test_auc: 0.8253	test_accuracy: 0.8249	test_loss: 0.3987	
11test_auc: 0.8103	test_accuracy: 0.8051	test_loss: 0.4271	
12test_auc: 0.8076	test_accuracy: 0.8016	test_loss: 0.4238	
13test_auc: 0.8264	test_accuracy: 0.8141	test_loss: 0.4158	
14test_auc: 0.8099	test_accuracy: 0.8025	test_loss: nan	
15test_auc: 0.7985	test_accuracy: 0.8019	test_loss: nan	
16test_auc: 0.8142	test_accuracy: 0.8043	test_loss: nan	
17test_auc: 0.8101	test_accuracy: 0.8073	test_loss: nan	
18test_auc: 0.8269	test_accuracy: 0.8132	test_loss: nan	
19test_auc: 0.8290	test_accuracy: 0.8047	test_loss: nan	
20test_auc: 0.8229	test_accuracy: 0.8069	test_loss: nan	
21test_auc: 0.7980	test_accuracy: 0.8092	test_loss: nan	
22test_auc: 0.8333	test_accuracy: 0.8110	test_loss: nan	
23test_auc: 0.8144	test_accuracy: 0.8043	test_loss: nan	
24test_auc: 0.8190	test_accuracy: 0.7973	test_loss: nan	
25test_auc: 0.8093	test_accuracy: 0.7947	test_loss: nan	
26test_auc: 0.8207	test_accuracy: 0.8052	test_loss: nan	
27test_auc: 0.8195	test_accuracy: 0.8063	test_loss: nan	
28test_auc: 0.8070	test_accuracy: 0.8035	test_loss: nan	
